App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up,
Ghost In Photo,PHOTOGRAPHY,3.9,28429,14M,"5,000,000+",Free,0,Teen,Photography,"March 16, 2018",2,2.3 and up,
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4M,"500,000+",Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,
I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,NaN,0,40M,0+,Paid,$399.99,Everyone,Lifestyle,"December 1, 2017",MONEY,4.1 and up,
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,
FL Tax-Verify,BUSINESS,3.8,17,6.1M,"5,000+",Free,0,Everyone,Business,"November 9, 2016",1.1.3,4.0 and up,
Bo's School Day,FAMILY,4.7,10,30M,"1,000+",Paid,$2.99,Everyone,Education,Pretend Play,"December 18, 2017",1.3,4.0.3 and up
Mizanul-Hikmət 2-ci cild,LIBRARIES_AND_DEMO,NaN,16,743k,"1,000+",Free,0,Everyone,Libraries & Demo,"January 4, 2017",1,1.6 and up,
Cerebral Palsy,MEDICAL,4.4,38,8.5M,"1,000+",Free,0,Everyone,Medical,"July 30, 2014",2,3.0 and up,
B-17 Flying Fortress WWII LWP,PERSONALIZATION,NaN,7,14M,100+,Paid,$1.49,Everyone,Personalization,"December 22, 2016",1,4.1 and up,
Google Classroom,EDUCATION,4.2,69498,Varies with device,"10,000,000+",Free,0,Everyone,Education,"July 19, 2018",Varies with device,Varies with device,
EC Tax,FINANCE,4.9,8,3.1M,500+,Free,0,Everyone,Finance,"February 9, 2018",1.2,4.0.3 and up,
Bleacher Report: sports news scores & highlights,SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,
DR CONTROL,FAMILY,3.4,267,1.5M,"10,000+",Free,0,Everyone,Entertainment,"March 8, 2017",2.1.0,4.0.3 and up,
4-T's Bar-BQ & Catering,SHOPPING,NaN,0,243k,10+,Free,0,Everyone,Shopping,"January 16, 2017",1.0.1,4.1 and up,
AW Radio,FAMILY,NaN,1,1.7M,100+,Free,0,Teen,Entertainment,"June 24, 2015",2,2.2 and up,
Glanceable Ap Watch Face,PERSONALIZATION,NaN,0,11M,5+,Paid,$0.99,Everyone,Personalization,"August 14, 2016",1.0.103,4.4 and up,
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3156484,53M,"100,000,000+",Free,0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,
BD Attendance,PRODUCTIVITY,4.8,93,14M,"1,000+",Free,0,Everyone,Productivity,"July 17, 2018",2.3.14,4.3 and up,
Mercado Libre: Find your favorite brands,SHOPPING,4.7,3860225,Varies with device,"50,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",Varies with device,Varies with device,
Mike V: Skateboard Party PRO,SPORTS,4.2,2506,Varies with device,"50,000+",Paid,$3.99,Everyone,Sports,"January 23, 2017",Varies with device,Varies with device,
DF Tracker,BUSINESS,NaN,2,6.0M,100+,Free,0,Everyone,Business,"September 27, 2017",1,4.0.3 and up,
Injustice 2,GAME,4.3,504765,36M,"5,000,000+",Free,0,Teen,Action,"July 30, 2018",2.4.1,4.4 and up,
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",Free,0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up,
Elmo Calls by Sesame Street,FAMILY,3.9,6903,25M,"1,000,000+",Free,0,Everyone,Educational,Pretend Play,"January 31, 2018",2.0.7,2.3 and up
ch-mm Dict,BOOKS_AND_REFERENCE,NaN,0,1.4M,10+,Paid,$1.96,Everyone,Books & Reference,"July 18, 2014",1,2.3 and up,
U of I Community Credit Union,FINANCE,3.7,52,13M,"5,000+",Free,0,Everyone,Finance,"May 4, 2018",4.16.10,4.4 and up,
The grand theft V Wallpaper,PERSONALIZATION,3.8,87,4.3M,"10,000+",Free,0,Everyone 10+,Personalization,"June 5, 2018",1.1,4.0.3 and up,
Economic Times : Market News Go Edition,NEWS_AND_MAGAZINES,4.3,39,4.2M,"5,000+",Free,0,Everyone,News & Magazines,"April 18, 2018",1.0.4,4.1 and up,
Eh Amego!,GAME,3.8,13388,7.1M,"500,000+",Free,0,Everyone,Arcade,"August 24, 2015",2.0.5,2.2 and up,
